City,State,Rank,Population,lat,lon
St. Peters,Missouri,667,54842,38.7874699,-90.6298922
Shoreline,Washington,668,54790,47.7556531,-122.3415178
Mount Prospect,Illinois,669,54771,42.0664167,-87.9372908
Hanford,California,670,54686,36.3274502,-119.6456844
Normal,Illinois,671,54664,40.5142026,-88.9906312
Rosemead,California,672,54561,34.0805651,-118.072846
Lehi,Utah,673,54382,40.3916172,-111.8507662
Pocatello,Idaho,674,54350,42.8713032,-112.4455344
Highland,California,675,54291,34.1283442,-117.2086513
Novato,California,676,54194,38.1074198,-122.5697032
Port Arthur,Texas,677,54135,29.8849504,-93.939947
Carson City,Nevada,678,54080,39.1637984,-119.7674034
San Marcos,Texas,679,54076,29.8832749,-97.9413941
Hendersonville,Tennessee,680,54068,36.3047735,-86.6199957
Elyria,Ohio,681,53956,41.3683798,-82.1076486
Revere,Massachusetts,682,53756,42.4084302,-71.0119948
Pflugerville,Texas,683,53752,30.4393696,-97.6200043
Greenwood,Indiana,684,53665,39.6136578,-86.1066526
Bellevue,Nebraska,685,53663,41.1543623,-95.9145568
Wheaton,Illinois,686,53648,41.8661403,-88.1070127
Smyrna,Georgia,687,53438,33.8839926,-84.5143761
Sarasota,Florida,688,53326,27.3364347,-82.5306527
Blue Springs,Missouri,689,53294,39.0169509,-94.2816148
Colton,California,690,53243,34.0739016,-117.3136547
Euless,Texas,691,53224,32.8370727,-97.0819541
Castle Rock,Colorado,692,53063,39.3722121,-104.8560902
Cathedral City,California,693,52977,33.7805388,-116.4668036
Kingsport,Tennessee,694,52962,36.548434,-82.5618186
Lake Havasu City,Arizona,695,52844,34.483901,-114.3224548
Pensacola,Florida,696,52703,30.421309,-87.2169149
Hoboken,New Jersey,697,52575,40.7439905,-74.0323626
Yucaipa,California,698,52536,34.033625,-117.0430865
Watsonville,California,699,52477,36.910231,-121.7568946
Richland,Washington,700,52413,46.2856907,-119.2844621
Delano,California,701,52403,35.7688425,-119.2470536
Hoffman Estates,Illinois,702,52398,42.0629915,-88.1227199
Florissant,Missouri,703,52363,38.789217,-90.322614
Placentia,California,704,52206,33.8722371,-117.8703363
West New York,New Jersey,705,52122,40.7878788,-74.0143064
Dublin,California,706,52105,37.7021521,-121.9357918
Oak Park,Illinois,707,52066,41.8850317,-87.7845025
Peabody,Massachusetts,708,52044,42.5278731,-70.9286609
Perth Amboy,New Jersey,709,51982,40.5067723,-74.2654234
Battle Creek,Michigan,710,51848,42.3211522,-85.1797142
Bradenton,Florida,711,51763,27.4989278,-82.5748194
Gilroy,California,712,51701,37.0057816,-121.5682751
Milford,Connecticut,713,51644,41.2306979,-73.064036
Albany,Oregon,714,51583,44.6365107,-123.1059282
Ankeny,Iowa,715,51567,41.7317884,-93.6001278
La Crosse,Wisconsin,716,51522,43.8013556,-91.2395807
Burlington,North Carolina,717,51510,36.0956918,-79.4377991
DeSoto,Texas,718,51483,32.5896998,-96.8570738
Harrisonburg,Virginia,719,51395,38.4495688,-78.8689155
Minnetonka,Minnesota,720,51368,44.9211836,-93.4687489
Elkhart,Indiana,721,51265,41.6819935,-85.9766671
Lakewood,Ohio,722,51143,41.4819932,-81.7981908
Glendora,California,723,51074,34.1361187,-117.865339
Southaven,Mississippi,724,50997,34.9889818,-90.0125913
Charleston,West Virginia,725,50821,38.3498195,-81.6326234
Joplin,Missouri,726,50789,37.0842271,-94.513281
Enid,Oklahoma,727,50725,36.3955891,-97.8783911
Palm Beach Gardens,Florida,728,50699,26.8233946,-80.1386547
Brookhaven,Georgia,729,50603,33.8651033,-84.3365917
Plainfield,New Jersey,730,50588,40.6337136,-74.4073736
Grand Island,Nebraska,731,50550,40.9263957,-98.3420118
Palm Desert,California,732,50508,33.7222445,-116.3744556
Huntersville,North Carolina,733,50458,35.410694,-80.8428504
Tigard,Oregon,734,50444,45.4312294,-122.7714861
Lenexa,Kansas,735,50344,38.9536174,-94.7335709
Saginaw,Michigan,736,50303,43.4194699,-83.9508068
Kentwood,Michigan,737,50233,42.8694731,-85.6447492
Doral,Florida,738,50213,25.8195424,-80.3553302
Apple Valley,Minnesota,739,50201,44.7319094,-93.21772
Grapevine,Texas,740,50195,32.9342919,-97.0780654
Aliso Viejo,California,741,50175,33.5676842,-117.7256083
Sammamish,Washington,742,50169,47.6162683,-122.0355736
Casa Grande,Arizona,743,50111,32.8795022,-111.7573521
Pinellas Park,Florida,744,49998,27.8428025,-82.6995443
Troy,New York,745,49974,42.7284117,-73.6917851
